address,top_rank,top_role,vote,chain,first_gas_funder_in_window,first_gas_timestamp_utc,first_gas_tx_hash,first_gas_value,all_incoming_native_count,all_incoming_native_total
0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db,49,delegate_hot_wallet,YES,ethereum,0xf70e77272c9befef43b0517fc88e0213d25b320c,2026-05-22T02:56:11.000Z,0x5a845e281189a3e2cd47b1a238d0dc7e378cfb4102c9417e33b2bfba2ad84a7e,0.005,2,0.015
0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db,49,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x04b81d0480d5899b7d1460fa5036b66415ecdb57,50,staker,NO,ethereum,,,,0.0,0,0.0
0x04b81d0480d5899b7d1460fa5036b66415ecdb57,50,staker,NO,polygon,,,,0.0,0,0.0
0x1de746bb64222c304b38f84613745323cb6c7fc1,50,delegate_hot_wallet,NO,ethereum,0x3d65ed138686e2ad54006d4db83ad4597d645370,2026-05-12T14:35:47.000Z,0x8c46f46d518b8af2663c4bc6c2fad87b51780181db7bc158c627592a5e019284,0.001761625628129376,2,0.008488354509565466
0x1de746bb64222c304b38f84613745323cb6c7fc1,50,delegate_hot_wallet,NO,polygon,,,,0.0,0,0.0
0x18f7f5243263e84ee8de50ca6c704b3415669222,51,staker,YES,ethereum,,,,0.0,0,0.0
0x18f7f5243263e84ee8de50ca6c704b3415669222,51,staker,YES,polygon,,,,0.0,0,0.0
0x1cee194da1eefe344fb2e7f46fab7d3a65c078e5,51,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x1cee194da1eefe344fb2e7f46fab7d3a65c078e5,51,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,52,staker,YES,ethereum,0xb397cac6c114a764c20c1ef46c5ca549f861214f,2026-05-06T00:49:47.000Z,0xee6d3fac150be128007eecd4568b7a1a99fbc98979577ead3dd78fc54bac5c29,1e-09,2,2e-09
0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,52,staker,YES,polygon,,,,0.0,0,0.0
0xb397dee549e3fdf24c82b72707cb6fcd849d214f,52,delegate_hot_wallet,YES,ethereum,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,2026-04-24T15:01:35.000Z,0xb6bc60a0a759a91b4b0062f750e16761b0604f86db4e7d907298cf799f98bc91,0.1,2,0.2
0xb397dee549e3fdf24c82b72707cb6fcd849d214f,52,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x060b1eb582790cdfa8e56afebfc4fcafcd2081fa,53,staker,YES,ethereum,,,,0.0,0,0.0
0x060b1eb582790cdfa8e56afebfc4fcafcd2081fa,53,staker,YES,polygon,,,,0.0,0,0.0
0x342f40fc637e631f669a5b38fa4fc94dcdd7dbed,53,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x342f40fc637e631f669a5b38fa4fc94dcdd7dbed,53,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xefe1fcede58d10606e89fdcf7539035686c7e2ad,54,staker,YES,ethereum,,,,0.0,0,0.0
0xefe1fcede58d10606e89fdcf7539035686c7e2ad,54,staker,YES,polygon,,,,0.0,0,0.0
0x69d0341d380a1229f4751a0a721345dbc716586c,55,staker,YES,ethereum,0x69d0341d380a1229f4751a0a721345dbc716586c,2026-04-07T13:44:35.000Z,0x77300182a0d0baf10d721cc0ccaca9e93caab514fac2adbf063b4afe0afd69af,0.0,2,0.0
0x69d0341d380a1229f4751a0a721345dbc716586c,55,staker,YES,polygon,,,,0.0,0,0.0
0x4431211df49f9a51cbba89467a524985cc809080,56,staker,NO,ethereum,,,,0.0,0,0.0
0x4431211df49f9a51cbba89467a524985cc809080,56,staker,NO,polygon,,,,0.0,0,0.0
0x53a30736a43c413edf5c13f049d34d3dd57b7128,56,delegate_hot_wallet,NO,ethereum,0x732101354af9a6e5bb40024835a748958c091ded,2026-05-11T13:52:23.000Z,0x968520294946c75aa700db60c55cd66d491fdd6e41656962f4b0ddc671d80c0c,0.202,1,0.202
0x53a30736a43c413edf5c13f049d34d3dd57b7128,56,delegate_hot_wallet,NO,polygon,,,,0.0,0,0.0
0xe348855eba9f8b179fe379dbb6f776e40f46484c,57,staker,YES,ethereum,,,,0.0,0,0.0
0xe348855eba9f8b179fe379dbb6f776e40f46484c,57,staker,YES,polygon,,,,0.0,0,0.0
0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,57,delegate_hot_wallet,YES,ethereum,0xf70e77272c9befef43b0517fc88e0213d25b320c,2026-05-21T09:04:23.000Z,0x6ad2bb89a5019f00dc8880041b1a1c1b8e7ee48dc2c939ca8512551ff4c9eca6,0.005,2,0.015
0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,57,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x47a40a367b3298be3da3bde3994c5342e26f368b,58,staker,YES,ethereum,,,,0.0,0,0.0
0x47a40a367b3298be3da3bde3994c5342e26f368b,58,staker,YES,polygon,,,,0.0,0,0.0
0x49b3fb1b5e6c6ae2a0f15de68f73f9e5cf99bd78,59,staker,YES,ethereum,,,,0.0,0,0.0
0x49b3fb1b5e6c6ae2a0f15de68f73f9e5cf99bd78,59,staker,YES,polygon,,,,0.0,0,0.0
0x126db3213b309a8d554594e591e614425ccac78e,60,staker,YES,ethereum,,,,0.0,0,0.0
0x126db3213b309a8d554594e591e614425ccac78e,60,staker,YES,polygon,,,,0.0,0,0.0
