proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,138085570000,138085.57,88691848,2026-06-18T00:32:47+00:00,0x15b6b8db66af7362b7bd3d2a95670b6cfe73a0214063234f11d94bd6b30983c9,2115
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x35e36faa4cf1488d120580302ed1d149be749188; 0x3670279e844f5005d7ed8cc37ca562eaadef34f9,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x2fa801da750904fc348ccb9315a0b892377d4359,43440000,43.44,88691848,2026-06-18T00:32:47+00:00,0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a,2301
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x35e36faa4cf1488d120580302ed1d149be749188; 0x3670279e844f5005d7ed8cc37ca562eaadef34f9,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x35e36faa4cf1488d120580302ed1d149be749188,5015036665,5015.036665,88691848,2026-06-18T00:32:47+00:00,0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a,2383
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x35e36faa4cf1488d120580302ed1d149be749188; 0x3670279e844f5005d7ed8cc37ca562eaadef34f9,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,100000000000,100000.0,88691848,2026-06-18T00:32:47+00:00,0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a,2393
0x731a241767938bb23d1b2fac4c9cd2f3cea9033f; 0x751a2b86cab503496efd325c8344e10159349ea1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,10638880000,10638.88,88691849,2026-06-18T00:32:49+00:00,0x6e95dd0f56903aa445a50e498679be2bc43f28aba691e07bf79b36e897190235,717
0x731a241767938bb23d1b2fac4c9cd2f3cea9033f; 0x751a2b86cab503496efd325c8344e10159349ea1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x751a2b86cab503496efd325c8344e10159349ea1,100000000000,100000.0,88691849,2026-06-18T00:32:49+00:00,0x6e95dd0f56903aa445a50e498679be2bc43f28aba691e07bf79b36e897190235,747
0x1295269296e51cd28a3db85fa6728c0e352b5cfd; 0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,6123620000,6123.62,88691849,2026-06-18T00:32:49+00:00,0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443,904
0x1295269296e51cd28a3db85fa6728c0e352b5cfd; 0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,22992117799,22992.117799,88691849,2026-06-18T00:32:49+00:00,0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443,915
0x7b676d5a6379855773d405fcf19b9aa577651b07,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x7b676d5a6379855773d405fcf19b9aa577651b07,25360000000,25360.0,88691849,2026-06-18T00:32:49+00:00,0x5e4ea9de1dfbddd30e994f54c2ed31f0f6b992c13c830f3dc39fb1054a75a266,1245
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,6000000000,6000.0,88691849,2026-06-18T00:32:49+00:00,0xbf27a055effdce61894d95df4c842ef8da022e687e9afe6829f853724180309e,3001
